,bws_clip,bws_gpt4,bws_gpt4_color,bws_gpt4_color2,bws_gpt4_only_prompt,sim_clip,sim_gpt4,sim_gpt4_color,sim_gpt4_color2,sim_gpt4_only_prompt
60,82.86465845146729,82.89118721836537,85.2556076650468,82.89118721836537,99.91779818707639,0.5681329,0.8146769,0.83816373,0.8634022,0.5861474
61,91.94749358728048,92.01811138919756,93.31763782617226,92.01811138919756,99.80891653598911,0.77665734,0.73648214,0.9111241,0.8534701,0.63145316
62,87.73302460490854,87.73613678661015,87.26045066863219,87.73613678661015,99.91161403967409,0.7985582,0.7940716,0.8353152,0.8588997,0.5317167
63,91.20490881719611,91.17861158221697,96.2308148901891,91.17861158221697,99.88337747965775,0.7437847,0.7544644,0.8300271,0.7767684,0.64013904
64,96.00107504703331,95.98919952747933,81.86930568645931,95.98919952747933,99.93624721081548,0.77976865,0.8347671,0.8816722,0.8700011,0.68632185
65,87.9892096018474,87.97314006240337,90.12053958663596,87.97314006240337,99.94985708525337,0.78537655,0.8705663,0.82823455,0.8556127,0.6798252
66,88.0636550974379,88.08495188953252,89.81980354150924,88.08495188953252,99.96349121355206,0.6825713,0.6793652,0.7858592,0.68506396,0.54593754
67,90.59694264848311,90.61657461455907,87.1631604408823,90.61657461455907,99.95484647802529,0.859046,0.75133693,0.8965485,0.8932712,0.6816795
68,88.95348532288601,88.95636987271268,88.8489112763519,88.95636987271268,99.9433579306764,0.7549992,0.78788346,0.8589033,0.840009,0.6494019
69,98.30164360196922,98.33120130247704,90.91594526668528,98.33120130247704,99.89775942939102,0.7580433,0.69872403,0.824576,0.73719347,0.7017198
70,92.26349294215333,92.30556324384168,79.22669254310667,92.30556324384168,99.72211458621643,0.63565594,0.7701771,0.8573071,0.8369241,0.44155762
71,89.02574089859816,89.01982988731746,87.80858286333196,89.01982988731746,99.90511271365195,0.7138889,0.74273264,0.88880193,0.80597985,0.70333064
72,86.5485190815158,86.53278243924652,87.42833871119325,86.53278243924652,99.90022299156918,0.7435132,0.6690403,0.840257,0.8271076,0.61654925
73,91.01639415010978,91.07897136013725,77.39402032455922,91.07897136013725,99.88563475408775,0.8584647,0.8364876,0.8403367,0.88572276,0.80812705
